iter	Passed	Remaining
0	199	199375
1	229	114312
2	261	87069
3	296	73921
4	338	67427
5	409	67891
6	477	67730
7	532	66042
8	585	64436
9	629	62335
10	680	61150
11	740	60949
12	798	60605
13	846	59597
14	899	59055
15	936	57611
16	977	56536
17	1016	55471
18	1069	55206
19	1109	54368
20	1174	54752
21	1226	54518
22	1263	53651
23	1302	52970
24	1349	52613
25	1396	52312
26	1435	51716
27	1475	51215
28	1548	51840
29	1620	52383
30	1657	51798
31	1710	51744
32	1783	52256
33	1852	52640
34	1888	52064
35	1926	51578
36	1964	51118
37	2006	50802
38	2048	50480
39	2102	50461
40	2142	50113
41	2181	49757
42	2220	49416
43	2258	49076
44	2298	48789
45	2343	48606
46	2384	48350
47	2441	48420
48	2495	48430
49	2549	48449
50	2602	48432
51	2642	48180
52	2696	48179
53	2768	48491
54	2809	48274
55	2864	48289
56	2917	48266
57	3004	48801
58	3042	48525
59	3083	48304
60	3140	48342
61	3178	48093
62	3228	48022
63	3286	48059
64	3340	48046
65	3377	47798
66	3416	47581
67	3473	47611
68	3512	47396
69	3586	47643
70	3671	48046
71	3726	48024
72	3764	47803
73	3806	47631
74	3858	47585
75	3915	47606
76	3981	47731
77	4038	47738
78	4077	47538
79	4097	47119
80	4146	47046
81	4203	47058
82	4237	46820
83	4277	46647
84	4335	46668
85	4386	46617
86	4443	46629
87	4496	46597
88	4557	46654
89	4605	46563
90	4646	46413
91	4712	46514
92	4752	46351
93	4820	46464
94	4893	46618
95	4948	46595
96	4984	46402
97	5024	46243
98	5081	46249
99	5135	46221
100	5173	46051
101	5231	46056
102	5267	45870
103	5320	45841
104	5340	45517
105	5367	45265
106	5440	45403
107	5493	45370
108	5557	45429
109	5600	45313
110	5659	45328
111	5710	45278
112	5783	45400
113	5829	45306
114	5866	45148
115	5907	45016
116	5947	44883
117	5985	44740
118	6025	44606
119	6055	44404
120	6093	44262
121	6118	44031
122	6142	43798
123	6177	43643
124	6234	43642
125	6288	43622
126	6328	43505
127	6382	43483
128	6418	43337
129	6478	43356
130	6512	43200
131	6564	43164
132	6621	43165
133	6679	43165
134	6715	43026
135	6755	42919
136	6794	42801
137	6829	42657
138	6867	42537
139	6903	42404
140	6946	42319
141	6982	42192
142	7024	42099
143	7082	42103
144	7136	42082
145	7208	42166
146	7260	42133
147	7290	41967
148	7357	42022
149	7391	41882
150	7417	41704
151	7445	41537
152	7502	41533
153	7556	41510
154	7594	41400
155	7632	41294
156	7689	41289
157	7760	41357
158	7800	41259
159	7835	41138
160	7923	41288
161	7957	41163
162	7995	41056
163	8034	40958
164	8090	40943
165	8130	40846
166	8166	40733
167	8208	40653
168	8247	40552
169	8276	40410
170	8318	40327
171	8356	40227
172	8397	40143
173	8468	40202
174	8521	40171
175	8577	40156
176	8648	40213
177	8683	40100
178	8724	40017
179	8795	40069
180	8835	39977
181	8907	40033
182	8976	40073
183	9013	39972
184	9052	39878
185	9107	39859
186	9146	39766
187	9183	39665
188	9225	39586
189	9282	39574
190	9320	39479
191	9377	39463
192	9430	39433
193	9504	39489
194	9557	39454
195	9614	39437
196	9651	39339
197	9743	39466
198	9837	39598
199	9912	39648
200	9965	39613
201	10008	39538
202	10059	39496
203	10095	39393
204	10133	39300
205	10173	39211
206	10213	39125
207	10269	39104
208	10307	39009
209	10363	38988
210	10403	38903
211	10442	38814
212	10482	38730
213	10554	38765
214	10595	38686
215	10631	38590
216	10671	38504
217	10712	38425
218	10752	38344
219	10808	38322
220	10862	38288
221	10902	38207
222	10940	38119
223	10981	38041
224	11019	37956
225	11058	37874
226	11100	37802
227	11134	37702
228	11176	37628
229	11250	37663
230	11302	37627
231	11376	37660
232	11445	37676
233	11484	37593
234	11523	37511
235	11562	37431
236	11602	37352
237	11641	37273
238	11680	37190
239	11738	37173
240	11790	37131
241	11829	37052
242	11882	37015
243	11953	37036
244	11990	36949
245	12053	36944
246	12099	36886
247	12156	36863
248	12208	36822
249	12282	36847
250	12319	36761
251	12357	36681
252	12399	36610
253	12437	36527
254	12477	36453
255	12532	36422
256	12569	36338
257	12629	36320
258	12678	36272
259	12715	36190
260	12755	36117
261	12796	36045
262	12835	35969
263	12909	35991
264	12962	35951
265	13036	35971
266	13089	35935
267	13130	35865
268	13167	35782
269	13257	35844
270	13342	35893
271	13379	35810
272	13418	35732
273	13456	35653
274	13496	35581
275	13554	35555
276	13605	35511
277	13644	35435
278	13702	35410
279	13737	35325
280	13775	35248
281	13818	35182
282	13870	35141
283	13909	35067
284	13963	35030
285	14034	35037
286	14086	34994
287	14128	34927
288	14166	34851
289	14205	34779
290	14242	34700
291	14283	34632
292	14335	34590
293	14391	34559
294	14444	34521
295	14501	34489
296	14555	34451
297	14610	34418
298	14664	34380
299	14702	34306
300	14739	34229
301	14780	34162
302	14835	34126
303	14893	34097
304	14944	34053
305	14983	33983
306	15024	33916
307	15079	33879
308	15134	33845
309	15172	33770
310	15212	33702
311	15252	33632
312	15290	33561
313	15349	33533
314	15399	33488
315	15438	33417
316	15478	33349
317	15516	33277
318	15555	33208
319	15613	33177
320	15665	33136
321	15705	33068
322	15757	33027
323	15814	32995
324	15866	32953
325	15923	32922
326	15976	32881
