iter	RMSE
0	92850.27808
1	91139.27837
2	89315.0193
3	87799.6461
4	86100.18246
5	84468.0984
6	82830.92041
7	81305.51775
8	79732.88326
9	78252.31451
10	76841.58576
11	75369.80017
12	74071.98034
13	72765.44309
14	71306.89126
15	69996.83546
16	68724.68352
17	67621.69096
18	66552.44018
19	65246.77762
20	64100.56713
21	63086.76459
22	62153.38535
23	61108.31243
24	60280.39522
25	59570.79048
26	58826.85765
27	57991.02549
28	57231.15955
29	56571.04651
30	55837.30988
31	55238.35372
32	54469.91329
33	53662.69058
34	52991.66113
35	52372.78069
36	51798.22445
37	51257.32957
38	50666.40116
39	49992.55165
40	49359.47927
41	48795.82344
42	48088.71481
43	47558.21637
44	47224.93133
45	46690.27004
46	46293.0457
47	45816.18368
48	45317.16774
49	44864.17443
50	44309.27292
51	43952.48153
52	43610.42536
53	43144.98806
54	42678.14916
55	42198.68207
56	41865.31823
57	41481.09195
58	41140.37512
59	40777.47936
60	40373.04144
61	39919.17642
62	39643.25428
63	39399.76298
64	38990.11149
65	38617.0519
66	38361.13805
67	38082.6742
68	37670.74103
69	37369.92258
70	37172.71499
71	36921.05359
72	36654.92059
73	36374.3971
74	36224.61254
75	36001.10204
76	35680.98438
77	35523.90964
78	35291.29177
79	35120.74285
80	34938.20587
81	34713.09717
82	34543.77355
83	34352.12579
84	34231.14113
85	33997.90938
86	33765.29164
87	33705.93587
88	33593.34485
89	33427.21238
90	33245.85335
91	33090.63923
92	32930.26149
93	32679.2495
94	32517.75836
95	32354.77611
96	32274.48646
97	32042.21003
98	31883.0945
99	31835.06249
100	31707.20661
101	31553.72422
102	31369.95016
103	31228.74114
104	31104.06475
105	31005.89817
106	30874.89095
107	30733.10519
108	30653.94845
109	30572.6433
110	30469.06593
111	30342.87367
112	30174.12128
113	30092.1692
114	29957.67668
115	29819.21035
116	29733.89052
117	29630.59026
118	29545.33987
119	29454.80033
120	29394.47592
121	29308.02627
122	29199.93132
123	29111.88596
124	29000.96649
125	28877.00803
126	28755.23136
127	28655.56852
128	28568.31983
129	28470.55508
130	28379.04398
131	28302.79228
132	28238.44042
133	28149.49194
134	28078.68481
135	27998.3385
136	27926.37422
137	27794.89275
138	27676.24498
139	27563.46144
140	27518.28796
141	27468.23501
142	27421.22922
143	27325.59758
144	27233.31236
145	27174.29537
146	27075.4561
147	26990.1293
148	26924.52473
149	26865.67069
150	26802.35422
151	26687.73769
152	26567.01567
153	26480.81241
154	26365.54808
155	26293.77727
156	26212.66785
157	26185.07373
158	26125.0586
159	26040.14975
160	25956.93411
161	25900.04935
162	25845.3828
163	25763.26839
164	25734.34807
165	25630.10877
166	25595.52364
167	25509.07163
168	25435.6082
169	25377.25867
170	25338.01945
171	25214.25849
172	25180.37678
173	25089.21621
174	25050.88277
