iter	Passed	Remaining
0	50	50571
1	107	53880
2	177	58844
3	201	50210
4	269	53673
5	307	50930
6	375	53211
7	416	51703
8	501	55260
9	542	53712
10	595	53569
11	637	52527
12	698	53002
13	735	51781
14	798	52414
15	836	51429
16	927	53634
17	982	53624
18	1065	54993
19	1141	55917
20	1205	56184
21	1244	55327
22	1314	55837
23	1352	55011
24	1460	56978
25	1536	57540
26	1609	58002
27	1672	58047
28	1711	57302
29	1768	57180
30	1826	57080
31	1870	56593
32	1935	56706
33	1993	56636
34	2043	56342
35	2086	55883
36	2140	55714
37	2195	55583
38	2265	55835
39	2303	55282
40	2375	55573
41	2415	55091
42	2467	54924
43	2511	54575
44	2564	54423
45	2600	53932
46	2657	53876
47	2705	53657
48	2766	53694
49	2829	53764
50	2866	53346
51	2935	53524
52	2977	53199
53	3044	53330
54	3099	53258
55	3169	53423
56	3221	53299
57	3293	53496
58	3332	53149
59	3397	53233
60	3451	53130
61	3486	52742
62	3556	52902
63	3592	52544
64	3652	52534
65	3693	52267
66	3757	52321
67	3794	52011
68	3850	51956
69	3894	51737
70	3948	51663
71	3983	51348
72	4055	51494
73	4089	51176
74	4145	51131
75	4202	51093
76	4270	51189
77	4310	50951
78	4399	51286
79	4452	51204
80	4536	51472
81	4576	51232
82	4630	51153
83	4670	50933
84	4739	51022
85	4792	50934
86	4847	50868
87	4866	50430
88	4903	50192
89	4970	50258
90	5030	50245
91	5097	50310
92	5155	50278
93	5206	50182
94	5265	50161
95	5336	50247
96	5403	50298
97	5442	50097
98	5481	49887
99	5511	49602
100	5559	49485
101	5598	49291
102	5635	49080
103	5708	49183
104	5745	48970
105	5815	49047
106	5855	48872
107	5910	48819
108	5948	48626
109	6001	48561
110	6042	48394
111	6114	48481
112	6153	48303
113	6206	48239
114	6245	48064
115	6300	48016
116	6341	47860
117	6393	47791
118	6435	47641
119	6505	47710
120	6543	47532
121	6614	47600
122	6650	47420
123	6705	47373
124	6753	47273
125	6846	47492
126	6896	47405
127	6936	47252
128	7034	47494
129	7089	47445
130	7145	47399
131	7179	47211
132	7213	47021
133	7298	47168
134	7334	46994
135	7406	47054
136	7446	46910
137	7502	46861
138	7557	46813
139	7607	46733
140	7641	46553
141	7687	46449
142	7714	46230
143	7767	46170
144	7799	45992
145	7838	45851
146	7876	45703
147	7950	45768
148	7990	45637
149	8061	45683
150	8097	45530
151	8153	45488
152	8191	45347
153	8245	45299
154	8298	45239
155	8365	45260
156	8403	45121
157	8462	45096
158	8505	44986
159	8571	45002
160	8607	44854
161	8637	44678
162	8708	44717
163	8748	44598
164	8816	44616
165	8872	44578
166	8926	44526
167	8963	44391
168	9019	44352
169	9057	44223
170	9098	44106
171	9136	43982
172	9211	44034
173	9253	43926
174	9294	43817
175	9363	43839
176	9414	43776
177	9468	43725
178	9507	43608
179	9577	43629
180	9617	43517
181	9670	43462
182	9710	43350
183	9750	43239
184	9791	43136
185	9895	43305
186	9954	43278
187	9999	43189
188	10044	43100
189	10111	43106
190	10167	43063
191	10221	43013
192	10263	42915
193	10331	42924
194	10387	42881
195	10472	42959
196	10503	42813
197	10566	42797
198	10601	42674
199	10658	42632
200	10702	42542
201	10769	42544
202	10822	42488
203	10876	42439
204	10913	42323
205	10984	42338
206	11023	42231
207	11110	42305
208	11163	42250
209	11233	42257
210	11273	42153
211	11361	42229
212	11403	42132
213	11502	42248
214	11557	42197
215	11632	42221
216	11690	42183
217	11724	42058
218	11765	41958
219	11802	41843
220	11841	41738
221	11886	41654
222	11952	41644
223	11993	41549
224	12079	41608
225	12133	41553
226	12206	41565
227	12259	41508
228	12312	41454
229	12353	41358
230	12421	41351
231	12456	41233
232	12510	41182
233	12569	41144
234	12639	41144
235	12673	41028
236	12745	41032
237	12782	40923
238	12839	40881
239	12878	40782
240	12944	40766
241	12985	40672
242	13059	40682
243	13091	40562
244	13134	40474
245	13189	40427
246	13260	40426
247	13300	40330
248	13355	40281
249	13394	40183
250	13448	40132
251	13505	40087
252	13575	40083
253	13615	39989
254	13668	39934
255	13708	39840
256	13796	39885
257	13833	39784
258	13900	39770
259	13958	39727
260	14043	39762
261	14078	39655
262	14134	39607
263	14176	39522
264	14243	39504
265	14281	39408
266	14339	39365
267	14368	39246
268	14430	39213
269	14470	39123
270	14519	39056
271	14586	39040
272	14626	38950
273	14695	38936
274	14732	38839
275	14775	38757
276	14810	38657
277	14849	38567
278	14890	38480
279	14961	38473
280	15026	38449
281	15084	38406
282	15122	38314
283	15195	38309
284	15248	38255
285	15318	38241
286	15358	38156
287	15412	38101
288	15459	38033
289	15539	38045
290	15576	37951
291	15630	37897
292	15669	37809
293	15739	37796
294	15777	37706
295	15833	37658
296	15890	37613
297	15959	37596
298	15994	37499
299	16065	37485
300	16104	37398
301	16173	37381
302	16215	37301
303	16284	37282
304	16344	37244
305	16411	37220
306	16451	37136
307	16503	37079
308	16562	37037
309	16629	37014
310	16671	36935
311	16725	36882
312	16765	36798
313	16822	36753
314	16860	36664
315	16914	36611
316	16954	36528
317	17021	36504
318	17064	36430
319	17131	36403
320	17169	36318
321	17222	36263
322	17301	36263
323	17344	36187
324	17415	36170
325	17451	36080
326	17508	36034
327	17547	35950
328	17616	35928
329	17655	35845
330	17745	35865
331	17786	35788
332	17867	35789
333	17924	35741
334	17992	35716
335	18066	35703
336	18158	35724
337	18242	35729
338	18329	35740
339	18398	35715
340	18472	35698
341	18549	35689
342	18614	35655
343	18663	35591
344	18720	35540
345	18790	35517
346	18832	35438
347	18900	35410
348	18963	35372
349	19026	35334
350	19069	35259
351	19133	35223
352	19172	35141
353	19242	35114
354	19284	35037
355	19354	35011
356	19393	34930
357	19476	34927
358	19517	34848
359	19586	34819
360	19637	34759
361	19693	34708
362	19732	34627
363	19803	34601
364	19844	34523
365	19951	34560
366	20005	34505
367	20072	34472
368	20142	34444
369	20224	34437
370	20297	34413
371	20396	34433
372	20452	34379
373	20536	34373
374	20592	34320
375	20659	34286
